"","Subset","Not accessible","Price increase"
"1","Abyan","62% ","38% "
"2","Aden","56% ","44% "
"3","Al Bayda","54% ","46% "
"4","Al Dhale'e","44% ","56% "
"5","Al Hudaydah","55% ","45% "
"6","Al Jawf","43% ","57% "
"7","Al Maharah","27% ","73% "
"8","Al Mahwit","43% ","57% "
"9","Amanat Al Asimah","53% ","47% "
"10","Amran","42% ","58% "
"11","Dhamar","53% ","47% "
"12","Hadramaut","57% ","43% "
"13","Hajjah","50% ","50% "
"14","Ibb","50% ","50% "
"15","Lahj","50% ","50% "
"16","Marib","39% ","61% "
"17","Raymah","40% ","60% "
"18","Sa'ada","55% ","45% "
"19","Sana'a","29% ","71% "
"20","Shabwah","48% ","52% "
"21","Taizz","57% ","43% "
